Component,Story,Mode,Violation count,Last updated,Impact
Button,States,light,0,2026-06-10 00:56:54,
Button,States,hc,0,2026-06-10 00:56:54,
Button,States,dark,0,2026-06-10 00:56:54,
Button,Variants,light,0,2026-06-10 00:56:54,
Button,Variants,hc,0,2026-06-10 00:56:54,
Button,Variants,dark,0,2026-06-10 00:56:54,
Button,Default,light,0,2026-06-10 00:56:54,
Button,Default,hc,0,2026-06-10 00:56:54,
Button,Default,dark,0,2026-06-10 00:56:54,
Button,Gallery,print,0,2026-06-10 00:56:54,
IconButton,Variants,dark,0,2026-06-10 00:56:54,
IconButton,Gallery,print,0,2026-06-10 00:56:54,
IconButton,Gallery,light,0,2026-06-10 00:56:54,
IconButton,Gallery,hc,0,2026-06-10 00:56:54,
IconButton,Gallery,dark,0,2026-06-10 00:56:54,
IconButton,Variants,light,0,2026-06-10 00:56:54,
IconButton,Variants,hc,0,2026-06-10 00:56:54,
IconButton,Sizes,light,0,2026-06-10 00:56:54,
IconButton,Sizes,hc,0,2026-06-10 00:56:54,
IconButton,Sizes,dark,0,2026-06-10 00:56:54,
IconButton,Default,light,0,2026-06-10 00:56:54,
IconButton,Default,hc,0,2026-06-10 00:56:54,
IconButton,Default,dark,0,2026-06-10 00:56:54,
Skeleton,Gallery,dark,0,2026-06-10 00:56:54,
Skeleton,Gallery,print,0,2026-06-10 00:56:54,
Skeleton,Gallery,light,0,2026-06-10 00:56:54,
Skeleton,Gallery,hc,0,2026-06-10 00:56:54,
Skeleton,Repeating,light,0,2026-06-10 00:56:54,
Skeleton,Repeating,hc,0,2026-06-10 00:56:54,
Skeleton,Repeating,dark,0,2026-06-10 00:56:54,
Skeleton,Variants,light,0,2026-06-10 00:56:54,
Skeleton,Variants,hc,0,2026-06-10 00:56:54,
Skeleton,Variants,dark,0,2026-06-10 00:56:54,
Skeleton,Default,light,0,2026-06-10 00:56:54,
Skeleton,Default,hc,0,2026-06-10 00:56:54,
Skeleton,Default,dark,0,2026-06-10 00:56:54,
ArcDecoration,Small Size,dark,0,2026-06-10 00:56:54,
ArcDecoration,Inside Hero,light,0,2026-06-10 00:56:54,
ArcDecoration,Inside Hero,hc,0,2026-06-10 00:56:54,
ArcDecoration,Inside Hero,dark,0,2026-06-10 00:56:54,
ArcDecoration,Large Size,light,0,2026-06-10 00:56:54,
ArcDecoration,Large Size,hc,0,2026-06-10 00:56:54,
ArcDecoration,Large Size,dark,0,2026-06-10 00:56:54,
ArcDecoration,Small Size,light,0,2026-06-10 00:56:54,
ArcDecoration,Small Size,hc,0,2026-06-10 00:56:54,
ArcDecoration,Animated,light,0,2026-06-10 00:56:54,
ArcDecoration,Animated,hc,0,2026-06-10 00:56:54,
ArcDecoration,Animated,dark,0,2026-06-10 00:56:54,
ArcDecoration,Stone Only,light,0,2026-06-10 00:56:54,
ArcDecoration,Stone Only,hc,0,2026-06-10 00:56:54,
ArcDecoration,Stone Only,dark,0,2026-06-10 00:56:54,
ArcDecoration,On Dark Substrate,light,0,2026-06-10 00:56:54,
ArcDecoration,On Dark Substrate,hc,0,2026-06-10 00:56:54,
ArcDecoration,On Dark Substrate,dark,0,2026-06-10 00:56:54,
ArcDecoration,Bottom Left,light,0,2026-06-10 00:56:54,
ArcDecoration,Bottom Left,hc,0,2026-06-10 00:56:54,
ArcDecoration,Bottom Left,dark,0,2026-06-10 00:56:54,
ArcDecoration,Top Left,light,0,2026-06-10 00:56:54,
ArcDecoration,Top Left,hc,0,2026-06-10 00:56:54,
ArcDecoration,Top Left,dark,0,2026-06-10 00:56:54,
ArcDecoration,Top Right,light,0,2026-06-10 00:56:54,
ArcDecoration,Top Right,hc,0,2026-06-10 00:56:54,
ArcDecoration,Top Right,dark,0,2026-06-10 00:56:54,
ArcDecoration,Two Rings,light,0,2026-06-10 00:56:54,
ArcDecoration,Two Rings,hc,0,2026-06-10 00:56:54,
ArcDecoration,Two Rings,dark,0,2026-06-10 00:56:54,
ArcDecoration,Three Rings,light,0,2026-06-10 00:56:54,
ArcDecoration,Three Rings,hc,0,2026-06-10 00:56:54,
ArcDecoration,Three Rings,dark,0,2026-06-10 00:56:54,
ArcDecoration,Default,light,0,2026-06-10 00:56:54,
ArcDecoration,Default,hc,0,2026-06-10 00:56:54,
ArcDecoration,Default,dark,0,2026-06-10 00:56:54,
PromptChip,With Icon,light,0,2026-06-10 00:56:54,
PromptChip,Group,light,0,2026-06-10 00:56:54,
PromptChip,Group,hc,0,2026-06-10 00:56:54,
PromptChip,Group,dark,0,2026-06-10 00:56:54,
PromptChip,With Icon,hc,0,2026-06-10 00:56:54,
PromptChip,With Icon,dark,0,2026-06-10 00:56:54,
PromptChip,Default,light,0,2026-06-10 00:56:54,
PromptChip,Default,hc,0,2026-06-10 00:56:54,
PromptChip,Default,dark,0,2026-06-10 00:56:54,
TelemetryBeacon,Default,light,,2026-06-10 00:56:54,
TelemetryBeacon,Default,dark,,2026-06-10 00:56:54,
TelemetryBeacon,Default,hc,,2026-06-10 00:56:54,
IrisThinking,With Label,light,0,2026-06-10 00:56:54,
IrisThinking,With Label,hc,0,2026-06-10 00:56:54,
IrisThinking,With Label,dark,0,2026-06-10 00:56:54,
IrisThinking,Sizes,light,0,2026-06-10 00:56:54,
IrisThinking,Sizes,hc,0,2026-06-10 00:56:54,
IrisThinking,Sizes,dark,0,2026-06-10 00:56:54,
IrisThinking,Default,light,0,2026-06-10 00:56:54,
IrisThinking,Default,hc,0,2026-06-10 00:56:54,
IrisThinking,Default,dark,0,2026-06-10 00:56:54,
HeroVideo,Poster Only,light,0,2026-06-10 00:56:54,
HeroVideo,Poster Only,hc,0,2026-06-10 00:56:54,
HeroVideo,Poster Only,dark,0,2026-06-10 00:56:54,
HeroVideo,Default,light,0,2026-06-10 00:56:54,
HeroVideo,Default,hc,0,2026-06-10 00:56:54,
HeroVideo,Default,dark,0,2026-06-10 00:56:54,
HeroVideo,Loading Pulse,dark,0,2026-06-10 00:56:54,
HeroVideo,Reduced Motion Fallback,light,0,2026-06-10 00:56:54,
HeroVideo,Mobile Viewport,light,0,2026-06-10 00:56:54,
HeroVideo,Mobile Viewport,hc,0,2026-06-10 00:56:54,
HeroVideo,Mobile Viewport,dark,0,2026-06-10 00:56:54,
HeroVideo,Short Beats,light,0,2026-06-10 00:56:54,
HeroVideo,Short Beats,hc,0,2026-06-10 00:56:54,
HeroVideo,Short Beats,dark,0,2026-06-10 00:56:54,
HeroVideo,Without Loop,light,0,2026-06-10 00:56:54,
HeroVideo,Without Loop,hc,0,2026-06-10 00:56:54,
HeroVideo,Without Loop,dark,0,2026-06-10 00:56:54,
HeroVideo,Captions Off,light,0,2026-06-10 00:56:54,
HeroVideo,Captions Off,hc,0,2026-06-10 00:56:54,
HeroVideo,Captions Off,dark,0,2026-06-10 00:56:54,
HeroVideo,Reduced Motion Fallback,hc,0,2026-06-10 00:56:54,
HeroVideo,Reduced Motion Fallback,dark,0,2026-06-10 00:56:54,
HeroVideo,Errored Fallback,light,0,2026-06-10 00:56:54,
HeroVideo,Errored Fallback,hc,0,2026-06-10 00:56:54,
HeroVideo,Errored Fallback,dark,0,2026-06-10 00:56:54,
HeroVideo,Paused,light,0,2026-06-10 00:56:54,
HeroVideo,Paused,hc,0,2026-06-10 00:56:54,
HeroVideo,Paused,dark,0,2026-06-10 00:56:54,
HeroVideo,Playing Frame,light,0,2026-06-10 00:56:54,
HeroVideo,Playing Frame,hc,0,2026-06-10 00:56:54,
HeroVideo,Playing Frame,dark,0,2026-06-10 00:56:54,
HeroVideo,Loading Pulse,light,0,2026-06-10 00:56:54,
HeroVideo,Loading Pulse,hc,0,2026-06-10 00:56:54,
